Filter ID,Screen,Filter label,Control type,Available options,Options source,Default value,State location,Data effect,Visible result effect,Count/summary effect,Combines with other filters,Clear/reset behaviour,Refresh persistence,Navigation persistence,Empty-result state,Loading state,Automated test,Manual result 2026-08-09,Status,Defect,Evidence
FLT-01,calorieDiary,Day chips (Mon–Sun),Chip row (7),Mon 14 … Sun 20,Hardcoded week,Fri (diaryDay=4),state.diaryDay,Selects which day's dlog entries + demo meals show,"Meal rows, Food total, macro bars all change","Food/Exercise/left recompute exactly (1140→0→1140 verified)",n/a (single dimension),No explicit clear; tap another day,PERSISTS (diaryDay whitelisted),Persists across nav,Empty slots show 'Scan or add …',n/a (local instant),None,Exact inclusion+exclusion verified,VERIFIED WORKING,,T1
FLT-02,calorieDiary,Water cups,8 tap targets,1–8 cups,Hardcoded,5,state.water,Sets water level to tapped index+1,Cup fill colors + '5 of 8 cups' text,healthToday Water tile syncs,n/a,Tap lower cup to reduce,PERSISTS,Persists,n/a,n/a,None,5→7 verified via cup 7,VERIFIED WORKING,DEF-004 (dashboard tile navigates instead of logging),T4
FLT-03,library,Segment chips,"Chips (All, Favorites, Want to Try, Recently Added, Recently Cooked)",5 segments,Hardcoded id lists + favs,All,state.seg,filtered() branches per segment,Card list changes,n/a,Yes — composes with all dietary filters,Select All,Not persisted (session),Session only,Empty state with reset,n/a,None,Exercised in crawl; segment logic read in source,VERIFIED WORKING,,crawl + filtered() source
FLT-04,library + dietaryFilters,Meal category,Chips (Breakfast/Lunch/Dinner/Snack),4 + none,CATS array,None,state.filters.meal,filtered() r.meal===f.meal,Library subset changes,dietaryFilters count badge,Yes (verified with diff),Reset chip,NOT persisted (OQ-2),Session only,'Try loosening your filters' + Reset,n/a,None,Breakfast+Easy → exact 3-recipe set,VERIFIED WORKING,,T11
FLT-05,dietaryFilters,Difficulty,Chips (Easy/Medium),2 + none,Hardcoded,None,state.filters.diff,filtered() r.diff===f.diff,Same,Same,Yes (verified),Reset,NOT persisted,Session,Same,n/a,None,Verified in combination,VERIFIED WORKING,,T11
FLT-06,dietaryFilters,Min rating,Chips (4.5★/4.0★/Any),3,Hardcoded,Any (0),state.filters.minRating,filtered() r.rating>=minRating,Same,Same,Yes (logic verified in source; not combination-clicked),Reset,NOT persisted,Session,Same,n/a,None,Chip toggles state; subset logic in filtered(),VERIFIED WORKING (Medium confidence),,T11 + source
FLT-07,dietaryFilters,Max kcal,Range slider 150–800 step 50,Continuous,Hardcoded,800,state.filters.maxKcal,filtered() r.kcal<=maxKcal,Same,Same,Yes (logic in filtered()),Reset,NOT persisted,Session,Same,n/a,None,Slider present; onChange sets state (source-verified),IMPLEMENTED — NOT TESTED (slider drag not automated),,source
FLT-08,dietaryFilters,Diet tags / allergens,Chips,From fixture diets,Fixture,[],state.filters.diet/allergens,filtered() every/some logic,Same,Same,Yes,Reset,NOT persisted,Session,Same,n/a,None,Toggled in crawl; subset math not independently recomputed,VERIFIED PARTIAL,,crawl + source
FLT-09,search,Query,Text input,Free text,User,'',state.query,searchResults() substring across title/sub/meal/diff/tags/diet,Result cards,Result count implicit,NO — does not compose with filters (defect),× button clears,NOT persisted,Session,No-results state,n/a (instant local),None,'chicken' → exact 4-recipe set incl/excl,VERIFIED PARTIAL,DEF-001,T10 T12
FLT-10,search,Dietary filters via Filters button,Link to sheet,7 dimensions,state.filters,defaults,state.filters,NONE — searchResults() ignores filters,No effect on results,No pills shown,Broken combination,Reset works on sheet,NOT persisted,Session,Misleading ('Try loosening your filters' shown for query misses),n/a,None,Breakfast+Easy active → search still shows all 27,VERIFIED FAILED,DEF-001,T12
FLT-11,weight,Range chips W/M/6M,Chips,3,Hardcoded,6M,state.weightRange,Selects chart series (W/M synthesized from last points),Chart + texts change,n/a,n/a,n/a,NOT persisted (resets to 6M),Session,n/a,n/a,None,W and M selections verified in state+DOM,VERIFIED WORKING,,T5
FLT-12,steps,Day bars Mon–Sun,7 tap targets,7 days,stepsLog + stepsToday,Today (6),state.stepsSel,Selects day whose value/steppers show,Value + % vs goal change,% uses stepGoal (78% verified),n/a,n/a,stepsSel not persisted; stepsLog persists,Session,n/a,n/a,None,Wed selection → 7400 shown,VERIFIED WORKING,,T6
FLT-13,sleep,Night bars,7 tap targets,6 nights + today,sleepLog + sleepH/M,Today (6),state.sleepSel,Selects night; score recomputed,Score + duration change,Score formula verified (93),n/a,n/a,sleepLog persists; sleepSel session,Session,n/a,n/a,None,Formula 100−|480−mins|/6 clamped 40–100 exact,VERIFIED WORKING,,T7
FLT-14,mealPlan,Day chips,7 chips,Mon–Sun,Hardcoded,Today,state.planDay,Per-day meals change,Meal rows swap,n/a,Composes with view toggle,n/a,NOT persisted (OQ-2),Session,n/a,n/a,None,Tue selection verified,VERIFIED WORKING,,T9
FLT-15,mealPlan,View toggle Day/Week/Month,Segmented,3,Hardcoded,Day,state.planView,Layout changes,Verified Week,n/a,Yes,n/a,NOT persisted,Session,n/a,n/a,None,Week verified,VERIFIED WORKING,,T9
FLT-16,discover/collections/tags,Browse chips,Chips,Fixture,Fixture,n/a,various,Demo content swap,Visual,n/a,n/a,n/a,Not persisted,Session,n/a,n/a,None,Crawl only — data accuracy not applicable (demo content),VERIFIED WORKING (Low confidence),,crawl
# Pass rate: 13 VERIFIED WORKING / 2 VERIFIED PARTIAL (FLT-08, FLT-09) / 1 VERIFIED FAILED (FLT-10) / 1 IMPLEMENTED-NOT TESTED (FLT-07) of 17 assessed.
# Universal notes: all filtering is client-side over in-memory fixtures — no network, so loading/error/stale-response classes of failure cannot occur by construction. URL persistence is n/a (no router/URLs in single-file app). Keyboard operation fails globally (divs with onClick).
