Capability ID,Product domain,Feature,User purpose,Route or screen,Main component,Frontend implementation,Backend implementation,Database or data source,External integration,Data currently real/mock/mixed,Current status,Confidence,Existing automated tests,Existing manual-test evidence,Test last executed during this audit,Audit result,Known defects,Security or privacy concerns,Accessibility concerns,Performance concerns,Required next action,Priority,Evidence reference
CAP-01,Onboarding,Splash/welcome/permissions flow,First-run introduction,"splash, welcome, permissions",screenBody cases,Complete visuals + nav,None,None,None,Mock,UI ONLY,High,None,Crawl 2026-08-09,2026-08-09,Renders; buttons navigate; no real permission requests,None,None,Not keyboard reachable (see A11y report),None,Decide real onboarding scope,P3,crawl-results json
CAP-02,Account,Auth (sign in/up),Account identity,auth,screenBody 'auth',Name field persists to state (userName); no credential handling,None,localStorage only,None,Mock,UI ONLY,High,None,Prior session E2E (Aug 9),2026-08-09 (crawl),Fields editable; no real authentication exists,None,No auth = no data isolation,Labels missing,None,Build real auth before beta,P1,crawl + prior session
CAP-03,Recipes,Library + segments + category chips,Browse recipes,library,filtered(),Complete,None,27 in-bundle fixture recipes,None,Mock,VERIFIED WORKING,High,None,Fresh T11,2026-08-09,Combined filters produce exact expected subsets,None,None,Chips small on mobile,105 clickables on one screen,None,P3,T11
CAP-04,Recipes,Search,Find recipe by text,search,searchResults(),Query filter complete; dietary filters NOT applied,None,Fixture recipes,None,Mock,VERIFIED PARTIAL,High,None,Fresh T10/T12,2026-08-09,Query incl/excl exact; ignores active filter sheet,DEF-001,None,None,None,Apply filtered() inside searchResults,P2,T10 T12
CAP-05,Recipes,Dietary filter sheet,Constrain recipe set,dietaryFilters,setF/resetF/filtered,Complete,None,Fixture,None,Mock,VERIFIED WORKING,High,None,Fresh T11,2026-08-09,All 7 dimensions apply; count badge exact; reset restores defaults,DEF-001 (search only),None,Slider has no accessible label,None,None,P2,T11
CAP-06,Recipes,Recipe detail + favorites + servings,View/cook recipe,recipeDetail,screenBody,Complete,None,Fixture,None,Mock,VERIFIED WORKING,Medium,None,Prior E2E + crawl clean,2026-08-09 (crawl),31 controls respond; favorites persist (favs whitelist),None,None,None,None,None,P3,crawl + prior
CAP-07,Recipes,Cooking mode (steps/ingredients/timers),Guided cooking,"cookStep, cookIngredients, cookTimers, cookComplete",cookNav,Complete,None,Fixture,None,Mock,VERIFIED WORKING,Medium,None,Prior E2E scan→cook; crawl clean,2026-08-09 (crawl),Navigation works; timers tick (t1run),DEF-002 possibly timer-related,None,Timer not announced,None,None,P3,crawl + prior
CAP-08,Recipes,Import (URL/photo/text/manual/edit),Add own recipes,"urlImport, photoImport, textImport, manualEntry, editRecipe",startImport,Simulated phases; manual/edit are stub rows + toast,None,None (nothing saved to library),None,Mock,MOCKED OR HARDCODED,High,None,Crawl,2026-08-09,Import 'completes' visually but creates no recipe,None,None,None,None,Implement real import or label as demo,P3,crawl
CAP-09,AI Scan,Calories from photo,Log meal by camera,mealScan→mealScanResult,captureScan/runScan,Complete (camera capture + downscale + POST + portion steppers + log),Supabase Edge Function 'scan' v15/v16,scan_debug table (service-role RLS),Anthropic via edge function,Real,VERIFIED WORKING,High,None,Fresh T14/T15 + prior phone E2E,2026-08-09,Live 200 with correct food recognition; graceful failure path,None,Anon key ships in client (by design) — needs rate limiting,Camera-only input,5.9s round trip,Add rate limiting,P2,T15
CAP-10,AI Scan,Barcode/package scan,Log packaged food,mealScan (bar mode),runScan 'barcode',Complete client path,Edge function mode 'barcode',Same,Anthropic,Real,VERIFIED WORKING (prior evidence),Medium,None,Curl + phone E2E 2026-08-09 earlier session,Not re-run,Prior same-day verification accepted,None,Same as CAP-09,Same,Same,Re-verify after any function redeploy,P3,memory/prior session
